NCBI UID,Ensembl ID
1069,ENSG00000147400
1855,ENSG00000107404
26960,ENSG00000172915
79664,ENSG00000128915
29114,ENSG00000144834
9204,ENSG00000163867
797,ENSG00000175868
200844,ENSG00000163689
29928,ENSG00000177370
84735,ENSG00000150656
342945,ENSG00000182318
65009,ENSG00000103034
81849,ENSG00000117069
4729,ENSG00000178127
142686,ENSG00000239388
780851,
3954,ENSG00000168924
2886,ENSG00000141738
84163,ENSG00000196275
347853,ENSG00000167800
9452,ENSG00000078596
91683,ENSG00000173227
10268,ENSG00000122679
5891,ENSG00000080823
4943,ENSG00000068354
728568,ENSG00000204954
11188,ENSG00000010322
100131816,ENSG00000229547
10866,ENSG00000206337
100499467,ENSG00000227036
6628,ENSG00000125835
81623,ENSG00000125788
26538,ENSG00000171942
2288,ENSG00000004478
909,ENSG00000158477
2872,ENSG00000099875
84197,ENSG00000185900
8574,ENSG00000053371
644100,ENSG00000268223
135,ENSG00000128271
259215,ENSG00000204424
58513,ENSG00000127527
91445,ENSG00000138942
5865,ENSG00000169213
339044,ENSG00000244257
10892,ENSG00000172175
94137,ENSG00000183638
154141,ENSG00000172197
80705,ENSG00000135951
55802,ENSG00000272886
64779,ENSG00000103248
22950,ENSG00000163798
153364,ENSG00000176055
9694,ENSG00000104412
307,ENSG00000196975
333926,ENSG00000155367
63904,ENSG00000189037
26994,ENSG00000123091
79690,ENSG00000197093
2618,ENSG00000159131
100125288,ENSG00000220201
763,ENSG00000174990
8322,ENSG00000174804
80153,ENSG00000179151
124460,ENSG00000167208
7158,ENSG00000067369
551,ENSG00000101200
27248,ENSG00000068912
349565,ENSG00000163864
8110,ENSG00000205683
138803,ENSG00000204246
55668,ENSG00000089916
51455,ENSG00000135945
23075,ENSG00000133789
6617,ENSG00000023608
26507,ENSG00000119946
158747,ENSG00000130150
60312,ENSG00000196526
1432,ENSG00000112062
56670,ENSG00000198829
202374,ENSG00000169302
5092,ENSG00000166228
10859,ENSG00000104972
4140,ENSG00000075413
1600,ENSG00000173406
10257,ENSG00000125257
57590,ENSG00000085449
116931,ENSG00000144893
51667,ENSG00000013374
84960,ENSG00000213213
6425,ENSG00000120057
23247,ENSG00000047578
3157,ENSG00000112972
79831,ENSG00000155666
26735,ENSG00000171481
1264,ENSG00000130176
10633,ENSG00000100276
4716,ENSG00000140990
642658,ENSG00000260428
6041,ENSG00000135828
23623,ENSG00000160753
51203,ENSG00000137804
80198,ENSG00000172732
27283,ENSG00000137251
81876,ENSG00000174903
23411,ENSG00000096717
219956,ENSG00000186509
6273,ENSG00000196754
51031,ENSG00000167699
400120,ENSG00000180440
54543,ENSG00000196683
10401,ENSG00000131788
1056,ENSG00000170835
4524,ENSG00000177000
388695,ENSG00000163155
1290,ENSG00000204262
220686,
5630,ENSG00000135406
126308,ENSG00000172081
64110,ENSG00000177383
8913,ENSG00000006283
7167,ENSG00000111669
54785,ENSG00000196544
95,ENSG00000243989
55657,ENSG00000171163
201161,ENSG00000166582
7355,ENSG00000102100
2627,ENSG00000141448
442361,ENSG00000221989
148979,ENSG00000174332
100130557,ENSG00000272145
57332,ENSG00000141570
399979,ENSG00000120451
23081,ENSG00000107077
64746,ENSG00000182827
2243,ENSG00000171560
338,ENSG00000084674
142827,ENSG00000173124
374286,ENSG00000241322
83983,ENSG00000178093
11143,ENSG00000136504
4988,ENSG00000112038
5066,ENSG00000145730
728791,ENSG00000240776
25978,ENSG00000083937
644903,ENSG00000214184
51693,ENSG00000167515
29789,ENSG00000138430
7503,ENSG00000229807
448831,ENSG00000205097
100124533,
55233,ENSG00000114978
653188,ENSG00000290560
121549,ENSG00000187855
9499,ENSG00000120729
2071,ENSG00000163161
80154,ENSG00000255769
138804,ENSG00000148136
112939,ENSG00000160877
5608,ENSG00000108984
151050,ENSG00000144445
283337,ENSG00000139651
79697,ENSG00000170468
26993,ENSG00000011243
201965,ENSG00000182552
8325,ENSG00000177283
100302736,ENSG00000251201
91442,ENSG00000131944
5862,ENSG00000104388
51499,ENSG00000170855
55805,ENSG00000109771
7709,ENSG00000116809
8741,ENSG00000161955
55039,ENSG00000183665
349334,ENSG00000184659
9693,ENSG00000109756
2875,ENSG00000167701
8573,ENSG00000147044
84190,ENSG00000127720
2049,ENSG00000182580
132,ENSG00000156110
440258,
25940,ENSG00000119812
5896,ENSG00000166349
56648,ENSG00000163577
128408,ENSG00000125533
155060,ENSG00000290600
10861,ENSG00000145217
113675,ENSG00000139410
81624,ENSG00000139734
54923,ENSG00000203896
9667,ENSG00000130254
79035,ENSG00000139579
3953,ENSG00000116678
84958,ENSG00000142765
79809,ENSG00000123607
84164,ENSG00000100325
9455,ENSG00000103942
125919,ENSG00000178229
116135,ENSG00000179796
1638,ENSG00000080166
134265,ENSG00000157510
5298,ENSG00000143393
9031,ENSG00000009954
6845,ENSG00000124333
54749,ENSG00000086289
59,ENSG00000107796
90332,ENSG00000283632
10439,ENSG00000130558
728937,
1852,ENSG00000130829
23429,ENSG00000163602
51009,ENSG00000072849
29113,ENSG00000204542
7399,ENSG00000042781
79663,ENSG00000169087
27089,ENSG00000164405
790,ENSG00000084774
9203,ENSG00000147130
114034,ENSG00000132773
3739,ENSG00000182255
57563,ENSG00000145332
5253,ENSG00000197724
7504,ENSG00000047597
84993,ENSG00000138629
3998,ENSG00000074695
931,ENSG00000156738
346171,ENSG00000204644
55234,ENSG00000122692
158586,ENSG00000198455
23086,ENSG00000110723
